
id,name,nomen,sex,parent
3888,MUNA3888 C. Munatius (26) Plancus,Munatius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4962
3921,CLAU3921 C. Claudius (C) Pulcher,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2140
3950,CLAU3950 Ti. Claudius (Iulius 154) Nero,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2597
3950,CLAU3950 Ti. Claudius (Iulius 154) Nero,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4325
3965,POMP3965 T. Pomponius (102) Atticus,Pomponius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3979
3970,ATIL3970 Sex. Atilius (71) Serranus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4137
4028,LICI4028 L.? Licinius (76) Crassus Scipio,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1679
4073,VALG4073 C. Valgius (6) Hippianus,Valgius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4966
4094,MARI4094 M. Marius (A) Gratidianus,Marius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1778
4104,GRAT4104 M. Gratidius (A) Cor.,Gratidius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1778
4194,CLAU4194 -. Claudius (139) Drusus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2597
4196,CORN4196 -. Cornelius (371) Sisenna,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2234
4217,SEMP4217 Ti. Sempronius (52) Gracchus,Sempronius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1031
4294,LIVI4294 M. Livius (20) Drusus Libo,Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2520
4311,CLAU4311 -. Claudius (290) Pulcher,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1756
4315,VALE4315 M. Valerius (260) Messalla Barbatus Appianus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2536
4329,SALL4329 C. Sallustius (11) Crispus,Sallustius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2429
4349,ANNE4349 M. Anneius (4) Ani.,Anneius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4348
4356,"AURE4356 M. Aurelius (110, 111) Cotta Maximus or Messallinus",Aurelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4743
4372,AEBU4372 P. Aebutius (8),Aebutius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4834
4755,LIVI4755 M. Livius (A) Aemilianus,Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,827
4847,AEMI4847 M. Aemilius (30) Avianianus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4848
4941,LICI4941 M. Licinius (59) Crassus Frugi,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2860
