
id,name,nomen,sex,parent
3910,POMP3910  Pompeia (55),Pompeia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3902
3912,ANTO3912  Antonia (112),Antonia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2392
3912,ANTO3912  Antonia (112),Antonia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4110
3914,ANTO3914  Antonia (114) minor,Antonia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2392
3914,ANTO3914  Antonia (114) minor,Antonia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3909
3915,LAEL3915  Laelia (26),Laelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1524
3919,DOMI3919  Domitia (90),Domitia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1630
3920,CORN3920  Cornelia (436) = Fausta Cornelia,Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1746
3920,CORN3920  Cornelia (436) = Fausta Cornelia,Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3929
3926,ANNI3926  Annia (A),Annia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3925
3927,RUTI3927  Rutilia (39),Rutilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2096
3928,TULL3928  Tullia (60),Tullia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2072
3928,TULL3928  Tullia (60),Tullia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3940
3929,CAEC3929  Caecilia (134) Metella,Caecilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1649
3934,POMP3934  Pompeia (54),Pompeia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1976
3934,POMP3934  Pompeia (54),Pompeia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3908
3937,AEMI3937  Aemilia (154),Aemilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1645
3937,AEMI3937  Aemilia (154),Aemilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3929
3942,OTAC3942  Otacilia (18),Otacilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3941
3943,FABI3943  Fabia (170),Fabia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,559
3945,AEMI3945  Aemilia (179) Tertia,Aemilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,826
3946,CORN3946  Cornelia (407),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,878
3946,CORN3946  Cornelia (407),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3945
3947,CAEC3947  Caecilia (132) Metella,Caecilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1544
3948,IULI3948  Iulia (541),Iulia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4101
