
childid,parentid
1957,4305
2241,4262
2597,4304
3874,3875
3875,3874
3875,3934
3904,4174
3910,3911
3911,3910
3912,3913
3913,3912
3934,3875
4174,3904
4262,2241
4304,2597
4305,1957
