
id,relativeid,relationshipid
720,805,3
721,856,3
721,759,6
722,817,3
722,832,3
722,628,5
722,723,6
723,819,3
723,628,5
723,722,6
727,3943,5
727,4350,5
732,703,6
734,836,3
734,959,3
734,1100,25
734,1103,25
734,1151,25
735,660,5
738,636,19
738,1109,25
739,826,3
742,919,3
742,4996,5
742,747,21
742,3959,21
742,919,25
743,1214,25
744,858,3
744,4042,3
744,591,5
744,702,6
744,776,6
744,4206,6
744,4321,6
746,748,16
747,845,3
747,852,3
747,4963,5
747,3959,6
747,742,21
747,931,25
748,746,16
751,891,3
751,905,3
751,996,3
751,673,5
752,923,3
752,658,5
757,3942,5
757,762,6
757,1097,25
758,787,15
758,637,19
759,721,6
760,691,5
761,866,3
762,4234,3
762,3942,5
762,757,6
762,1042,25
762,1097,25
763,1140,25
764,939,3
764,1173,25
765,823,3
765,768,6
766,788,3
766,4872,3
766,1502,18
766,690,19
766,1170,25
766,1172,25
766,1251,25
766,1278,25
767,1022,3
767,4997,5
767,779,6
768,765,6
768,1327,25
771,4203,6
776,1079,3
776,591,5
776,702,6
776,744,6
776,4206,6
776,4321,6
776,1290,25
777,882,15
777,991,15
778,982,3
778,1011,3
779,1022,3
779,4997,5
779,767,6
780,877,3
780,903,3
780,1023,3
780,688,5
780,782,6
781,1204,3
781,1242,3
781,1247,3
781,3693,3
781,4241,4
781,699,5
781,924,6
781,945,6
782,903,3
782,985,3
782,986,3
782,688,5
782,780,6
783,960,3
783,4998,5
783,926,15
785,4709,3
785,4753,5
785,1471,25
786,827,3
786,4992,5
787,998,3
787,758,13
787,1384,25
787,1442,25
787,637,26
788,1143,3
788,1170,3
788,766,5
788,4872,6
789,649,5
791,857,3
791,5000,5
791,853,6
791,4246,6
791,4999,19
792,4222,3
792,4223,3
792,4635,3
792,1067,25
793,989,3
793,4090,5
796,680,5
797,707,5
798,4507,3
799,683,5
799,800,6
800,683,5
800,799,6
803,904,3
803,629,19
805,902,3
805,930,3
805,993,3
805,720,5
806,703,5
806,3861,5
807,1200,3
807,1232,3
807,4873,3
807,4994,5
807,682,19
808,1201,3
808,716,5
810,997,3
810,4802,5
810,856,6
810,662,19
810,1318,25
812,1024,3
813,888,3
813,912,3
814,4218,3
814,1323,25
814,1332,25
814,1573,25
817,1077,3
817,1090,3
817,3860,3
817,722,5
817,832,6
817,878,15
818,1183,3
818,872,16
819,723,5
820,1101,3
822,1288,3
822,1289,3
823,765,5
824,949,3
826,1134,3
826,3945,3
826,4755,3
826,739,5
827,952,3
827,4219,4
827,786,5
827,909,16
827,4755,22
827,1519,25
828,831,5
830,1035,3
830,1163,3
831,828,3
832,878,3
832,1016,3
832,4246,4
832,722,5
832,817,6
833,976,3
835,1140,3
835,1187,3
835,1228,3
836,1100,3
836,1103,3
836,1151,3
836,1413,3
836,734,5
836,959,6
843,3661,6
845,931,3
845,953,3
845,747,5
845,852,6
852,747,5
852,845,6
853,857,3
853,1010,3
853,5000,5
853,791,6
853,4246,6
853,4999,19
854,1175,3
854,1185,3
855,1169,3
855,1274,3
856,4340,4
856,721,5
856,810,6
857,791,5
857,853,5
857,1010,6
857,1444,25
858,1118,3
858,1125,3
858,1191,3
858,4220,3
858,744,5
858,4042,6
865,696,5
866,1182,3
866,1337,3
866,4217,3
866,761,5
866,1182,25
870,1485,25
872,818,16
874,1141,3
877,1465,3
877,1474,3
877,780,5
877,903,6
877,985,6
877,986,6
877,1023,6
877,903,16
878,1285,3
878,1309,3
878,1331,3
878,3946,3
878,4228,3
878,3945,4
878,832,5
878,4246,5
878,1016,6
878,817,13
878,1525,25
878,1598,25
879,1053,3
879,712,5
880,1356,3
880,4298,5
880,4507,6
882,777,13
883,1188,3
885,2120,3
885,1566,5
885,4819,6
885,1384,19
885,1966,22
885,2120,25
888,813,5
888,912,6
889,1006,3
889,1074,3
891,1424,3
891,1544,3
891,751,5
891,905,6
891,996,6
891,1424,25
902,805,5
902,930,6
902,993,6
903,780,5
903,782,5
903,877,6
903,985,6
903,986,6
903,1023,6
903,877,16
904,1164,3
904,803,5
905,751,5
905,891,6
905,996,6
907,1433,3
907,3369,3
907,3944,4
907,4247,4
907,5001,5
907,2241,18
907,1656,25
907,1682,25
907,1841,25
908,1295,3
908,4805,5
909,827,16
912,813,5
912,888,6
914,1034,6
916,1226,3
916,3824,19
919,1291,3
919,742,5
919,742,19
921,1322,3
921,5002,5
923,1223,3
923,1326,3
923,752,5
923,658,19
924,1178,3
924,1194,3
924,4216,4
924,699,5
924,781,6
924,945,6
925,1123,3
925,4818,3
925,1534,25
925,1543,25
926,4889,3
926,5003,5
926,783,13
926,1321,15
926,1354,15
926,4875,15
926,960,21
926,1500,25
927,928,6
928,927,6
929,4224,16
930,1466,3
930,805,5
930,902,6
930,993,6
931,1342,3
931,845,5
931,953,6
931,747,19
936,1060,3
936,1192,3
936,4995,5
936,987,6
936,684,19
936,1336,25
939,1173,3
939,764,5
942,1214,3
945,699,5
945,781,6
945,924,6
948,1154,3
948,5004,5
949,5005,3
949,824,5
952,3366,3
952,827,5
952,4219,5
953,1266,3
953,845,5
953,931,6
957,1036,6
958,1204,22
959,1128,3
959,734,5
959,836,6
960,783,5
960,926,21
966,1222,3
967,3650,3
971,1283,3
971,1284,3
971,1328,3
975,1379,3
975,1550,25
976,833,5
977,1449,3
977,4961,5
977,999,6
980,4806,3
982,778,5
982,1011,6
984,1418,3
984,1562,25
985,782,5
985,877,6
985,903,6
985,986,6
985,1023,6
986,782,5
986,877,6
986,903,6
986,985,6
986,1023,6
987,1192,3
987,4995,5
987,936,6
989,1489,3
989,793,5
991,1157,3
991,777,13
992,1524,3
993,3524,3
993,805,5
993,902,6
993,930,6
993,3524,25
995,1265,3
995,1454,3
995,4831,5
996,1544,3
996,751,5
996,891,6
996,905,6
997,1318,3
997,810,5
998,1384,3
998,1442,3
998,787,5
999,1449,3
999,4961,5
999,977,6
999,1097,16
1006,1312,3
1006,889,5
1006,1074,6
1007,1008,6
1007,1071,6
1008,1007,6
1008,1071,6
1009,1363,3
1010,853,5
1010,857,6
1011,778,5
1011,982,6
1016,1415,3
1016,832,5
1016,4246,5
1016,878,6
1020,1355,3
1022,767,5
1022,779,5
1023,1362,3
1023,780,5
1023,877,6
1023,903,6
1023,985,6
1023,986,6
1024,812,5
1025,1353,3
1028,4507,5
1028,4298,6
1031,1337,22
1031,4217,22
1032,1295,3
1032,3428,5
1032,1095,6
1034,914,6
1035,1409,3
1035,830,5
1035,1163,6
1036,957,6
1041,1237,3
1041,1455,3
1041,4225,3
1042,762,19
1053,879,5
1054,1485,25
1060,1336,3
1060,936,5
1060,1192,6
1062,3359,3
1063,1270,3
1064,1259,3
1064,3359,3
1067,1180,3
1067,1553,3
1067,4635,5
1067,2341,18
1067,792,19
1071,1007,6
1071,1008,6
1074,889,5
1074,1006,6
1077,1396,3
1077,817,5
1077,1090,6
1077,3860,6
1077,2082,16
1077,1513,25
1079,1290,3
1079,1481,3
1079,776,5
1084,3239,3
1084,3638,3
1085,1390,3
1085,698,19
1090,1506,3
1090,4806,4
1090,817,5
1090,1077,6
1090,3860,6
1090,1732,25
1092,1521,3
1095,3428,5
1095,1032,6
1097,999,16
1097,757,19
1097,762,19
1100,1515,3
1100,836,5
1100,1103,6
1100,1151,6
1100,1370,6
1100,1413,6
1100,734,19
1101,820,5
1102,1434,3
1102,1998,18
1102,1834,25
1103,836,5
1103,1100,6
1103,1151,6
1103,1370,6
1103,1413,6
1103,734,19
1105,1487,3
1106,1139,3
1109,1248,3
1109,1369,3
1109,1200,6
1109,1232,6
1109,4873,6
1109,738,19
1110,1366,3
1111,1657,3
1111,1657,25
1111,1876,25
1114,1484,3
1114,1484,25
1117,4809,3
1117,1726,25
1117,2959,25
1118,1599,3
1118,858,5
1118,1125,6
1118,1191,6
1118,4220,6
1123,925,5
1123,4818,6
1125,1452,3
1125,858,5
1125,1118,6
1125,1191,6
1125,4220,6
1127,675,5
1127,675,19
1128,959,5
1131,1533,3
1131,1565,3
1131,1132,6
1132,1131,6
1134,1422,3
1134,1504,3
1134,4020,3
1134,4022,3
1134,4051,3
1134,4201,4
1134,826,5
1134,3945,6
1134,4755,6
1134,4201,11
1134,1594,25
1134,1682,25
1139,1387,3
1139,1106,5
1140,835,5
1140,1187,6
1140,1228,6
1140,763,19
1140,1730,25
1141,1511,3
1141,874,5
1143,788,5
1143,1170,6
1151,836,5
1151,1100,6
1151,1103,6
1151,1370,6
1151,1413,6
1151,734,19
1154,1271,3
1154,948,5
1157,991,5
1163,830,5
1163,1035,6
1164,904,5
1169,855,5
1169,1274,6
1170,1406,3
1170,788,5
1170,1143,6
1170,4871,16
1170,766,19
1172,1420,3
1172,4872,5
1172,1251,6
1172,1278,6
1172,766,19
1173,4037,3
1173,939,5
1173,764,19
1175,854,5
1175,1185,6
1176,1618,25
1178,1441,3
1178,924,5
1178,4216,5
1178,1194,6
1178,1483,6
1178,1561,6
1178,1575,6
1178,699,19
1180,1626,3
1180,4706,3
1180,1067,5
1180,1553,6
1180,1626,6
1180,4706,6
1180,4707,6
1182,1525,3
1182,1598,3
1182,4091,3
1182,3946,4
1182,866,5
1182,1337,6
1182,4217,6
1182,866,19
1183,1486,3
1183,1537,3
1183,818,5
1185,854,5
1185,1175,6
1186,1645,25
1187,1499,3
1187,1572,3
1187,835,5
1187,1140,6
1187,1228,6
1188,883,5
1188,3622,25
1190,1632,25
1191,858,5
1191,1118,6
1191,1125,6
1191,4220,6
1192,1417,3
1192,936,5
1192,987,5
1192,1060,6
1194,1581,3
1194,924,5
1194,4216,5
1194,1178,6
1194,1483,6
1194,1561,6
1194,1575,6
1194,699,19
1194,1624,25
1198,1485,3
1200,807,5
1200,1109,6
1200,1232,6
1200,4873,6
1201,1460,3
1201,808,5
1204,1370,3
1204,1413,3
1204,781,5
1204,4241,5
1204,1242,6
1204,1247,6
1204,3693,6
1204,958,7
1205,1403,3
1205,4874,5
1205,681,19
1205,3382,25
1205,3659,25
1205,4787,25
1209,712,19
1209,1422,22
1209,1545,22
1214,942,5
1214,743,19
1216,1495,3
1216,1542,3
1216,1217,6
1217,1216,6
1221,1683,25
1222,1483,3
1222,1561,3
1222,1575,3
1222,4216,4
1222,966,5
1223,4281,3
1223,923,5
1223,1326,6
1224,1514,3
1225,1383,3
1226,916,5
1228,835,5
1228,1140,6
1228,1187,6
1232,807,5
1232,1109,6
1232,1200,6
1232,4873,6
1237,1041,5
1237,1455,6
1237,4225,6
1239,1373,3
1242,1576,3
1242,781,5
1242,4241,5
1242,1204,6
1242,1247,6
1242,3693,6
1244,1461,3
1244,3602,3
1245,3491,3
1245,1277,6
1247,1624,3
1247,781,5
1247,4241,5
1247,1204,6
1247,1242,6
1247,3693,6
1248,3694,3
1248,1109,5
1248,1369,6
1251,4872,5
1251,1172,6
1251,1278,6
1251,766,19
1253,1306,3
1259,1064,5
1259,3359,6
1260,1485,3
1265,1642,3
1265,3201,3
1265,995,5
1265,1454,6
1265,1825,25
1265,1828,25
1266,2973,3
1266,4958,3
1266,953,5
1270,1650,3
1270,1063,5
1270,2119,25
1271,1154,5
1271,3574,25
1272,1357,6
1274,855,5
1274,1169,6
1275,1503,3
1275,1569,3
1275,4817,5
1277,1245,6
1278,4872,5
1278,1172,6
1278,1251,6
1278,766,19
1283,1563,3
1283,971,5
1283,1284,6
1283,1328,6
1283,1563,6
1284,971,5
1284,1283,6
1284,1328,6
1284,1563,6
1285,3133,3
1285,878,5
1285,3945,5
1285,1309,6
1285,1331,6
1285,3946,6
1285,4228,6
1285,1504,22
1288,1500,3
1288,1567,3
1288,822,5
1288,1289,6
1289,1613,3
1289,822,5
1289,1288,6
1290,1079,5
1290,1481,6
1290,776,19
1291,1545,3
1291,1552,3
1291,1556,3
1291,919,5
1295,908,5
1295,1032,5
1304,1583,3
1304,1439,6
1306,1253,5
1309,878,5
1309,3945,5
1309,1285,6
1309,1331,6
1309,3946,6
1309,4228,6
1311,3355,5
1312,1006,5
1318,997,5
1318,810,19
1318,1851,25
1318,2021,25
1321,1637,3
1321,4214,3
1321,4876,3
1321,4877,5
1321,1354,6
1321,4875,6
1321,926,13
1321,1780,25
1322,3770,3
1322,921,5
1323,1573,3
1323,814,19
1324,3998,3
1325,4085,3
1326,923,5
1326,1223,6
1327,3200,3
1327,768,19
1328,1590,3
1328,1601,3
1328,971,5
1328,1283,6
1328,1284,6
1328,1563,6
1331,878,5
1331,3945,5
1331,1285,6
1331,1309,6
1331,3946,6
1331,4228,6
1332,1573,3
1332,814,19
1333,1595,25
1333,1714,25
1336,1060,5
1336,936,19
1337,866,5
1337,1182,6
1337,4217,6
1337,1031,7
1342,931,5
1353,1638,3
1353,1025,5
1354,1547,3
1354,4048,3
1354,4877,5
1354,1321,6
1354,4875,6
1354,926,13
1354,1679,25
1355,1020,5
1356,1607,3
1356,1617,3
1356,3405,3
1356,880,5
1357,1272,6
1362,1631,3
1362,1883,3
1362,4210,3
1362,1023,5
1362,2012,25
1363,3098,3
1363,1009,5
1363,3098,25
1366,1630,3
1366,1110,5
1367,1392,6
1369,1109,5
1369,1248,6
1370,1204,5
1370,1100,6
1370,1103,6
1370,1151,6
1370,1413,6
1373,1239,5
1377,3168,3
1379,975,5
1383,1225,5
1384,1566,3
1384,3364,3
1384,4878,3
