id,name,nomen,sexid,born,died
5034,POMP5034 Sex. Pompeius (16),Pompeius,1,-125,-25
5037,POST5037 Sp. Postumius (23),Postumius,1,-175,-75
5039,DECI5039 N. Decimius (6),Decimius,1,-250,-150
5040,ANIC5040 M. Anicius (4),Anicius,1,-250,-150
5041,ANON5041 -. - (not in RE) Hegeas,-,1,-250,-150
5042,PERS5042 C. Persius (3),Persius,1,-250,-150
5043,AFRA5043 C. Afranius (4),Afranius,1,-200,-100
5044,CARV5044 M. Carvilius (2) Spoletinus,Carvilius,1,-200,-100
5045,BIES5045 -. Biesius (not in RE),Biesius,1,-200,-100
5046,LICI5046 -. Licinius (13.372) Lucullus,Licinius,1,-150,-50
5047,VALE5047 P. Valerius (76),Valerius,1,-125,0
5048,ANON5048 -. - (Dumnorix 1) Dumnorix,-,1,-100,0
5049,ANON5049 -. - (4.1678) Cotus,-,1,-100,0
5050,ANON5050 -. - (not in RE) Vertiscus,-,1,-100,0
5051,ANON5051 -. - (Sabinus 3) Sabinus,-,1,-75,25
5052,HORT5052 Q. Hortensius (not in RE),Hortensius,1,-75,25
5053,PROC5053 C. Proculeius (not in RE),Proculeius,1,-75,25
5054,CLAU5054 C. Claudius (330) C. f. C. n. Sardus,Claudius,1,-75,25
5055,IULI5055 C. Iulius (376) Papius,Iulius,1,-75,25
5056,NUS5056 -. (-)nus (not in RE),(-)nus,1,-75,25
5058,SATA5058 T. Satanus (not in RE) T. f. Sabinus,Satanus,1,-75,25
5059,MUNA5059 -. Munatius (37) Rufus,Munatius,1,-100,0
5060,PUBL5060 L. Publius (not in RE) P. f.,Publius,1,-100,25
5061,PUBL5061 M. Publius (not in RE) M. f.,Publius,1,-100,25
5062,PUBL5062 M. Publius (not in RE) Sp. f.,Publius,1,-100,25
5063,CEST5063 M. Cestius (1?) P. f. Primus,Cestius,1,-75,25
5064,NONI5064 -. Nonius (3),Nonius,1,-75,25
5065,MAEN5065 L. Maenius (?),Maenius,1,-75,25
5066,OFIL5066 -. Ofillius (Ofellius 1),Ofillius,1,-75,25
5067,CINC5067 M. Cincius (not in RE) L. f. Hor.,Cincius,1,-75,25
5068,ANON5068 -. - (12.1596) Tro. Maximus,-,1,-75,25
5069,ACLU5069 C. Aclutius (12.138) L. f. Ter. Gallus,Aclutius,1,-75,25
5070,QUIN5070 P. Quinctius (12.1764) P. f. Rom.,Quinctius,1,-75,25
5071,SERG5071 L. Sergius (12.1821) L. f. Lepidus,Sergius,1,-75,25
5072,TITI5072 M'. Titius (12.162) M'. f. Fab.,Titius,1,-75,25
5074,VIBI5074 C. Vibius (*11) T. f. Clu. Pansa,Vibius,1,-75,25
5075,PETI5075 Q. Petillius (5) L. f. Vel.,Petillius,1,-125,-25
5076,TERE5076 L. Terentius (24) A. f. Vel.,Terentius,1,-125,-25
5077,TERE5077 T. Terentius (35) A. f. Vel.,Terentius,1,-125,-25
5078,VETT5078 L. Vettius (not in RE) L. f. Vel.,Vettius,1,-125,-25
5079,FORN5079 C. Fornasidius (3.527) C. f. Pol.,Fornasidius,1,-125,-25
5080,HOST5080 M. Hostilius (6) M. f. Vel.,Hostilius,1,-125,-25
5081,ROSI5081 Q. Rosidius (not in RE) Q. f. Qui.,Rosidius,1,-125,-25
5082,HERI5082 C. Herius (not in RE) C. f. Clu.,Herius,1,-125,-25
5083,PONT5083 L. Pontius (not in RE) T. f. Qui.,Pontius,1,-125,-25
5084,FULV5084 A. Fulvius (7) A. f. Tro.,Fulvius,1,-125,-25
5085,PULL5085 L. Pullienus (not in RE) L. f. Men.,Pullienus,1,-125,-25
5086,AEBU5086 M'. Aebutius (not in RE) M'. f. Pol.,Aebutius,1,-125,-25
5087,SALV5087 P. Salvienus (not in RE) L. f. Mae.,Salvienus,1,-125,-25
5088,OTAC5088 L. Otacilius (not in RE) L. f. Pupina,Otacilius,1,-125,-25
5089,POMP5089 C. Pompeius (not in RE) C. f. Sab.,Pompeius,1,-100,25
5090,AMPI5090 T. Ampius (2) T. f. Menander,Ampius,1,-100,25
5091,SERV5091 P. Servilius (not in RE) P. f. Strabo,Servilius,1,-100,25
5092,PACC5092 L. Paccius (not in RE) L. f. Col. Capito,Paccius,1,-100,25
5093,FURI5093 A. Furius (not in RE) A. f. Tertius,Furius,1,-100,25
5094,AMPI5094 -. Ampius (not in RE) Menas,Ampius,1,-100,25
5095,"BAEB5095 -. Baebius (not in RE, cf. 17)",Baebius,1,-125,-80
5096,CONS5096 L. Considius (4),Considius,1,-125,-80
